Market,Sector,Company,Code,LACP,Open,High,Low,Close,Volume,MarketStatus,Change,TickSize,TickSizeRemark,Remark,BursaURL
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,ASTRO MALAYSIA HOLDINGS BERHAD,'6399,1.31,1.32,1.42,1.32,1.42,41062,MarketGapUp,0.11,9.999999999999988,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6399
MAIN MARKET,TECHNOLOGY,DATASONIC GROUP BERHAD,'5216,0.945,0.95,1.06,0.94,1.05,309271,MarketGapUp,0.105,15.000000000000016,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5216
MAIN MARKET,PROPERTY,NAIM HOLDINGS BERHAD,'5073,0.925,0.935,1.01,0.93,0.99,166380,MarketGapUp,0.065,10.999999999999988,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5073
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,SALUTICA BERHAD,'0183,0.88,0.88,0.94,0.88,0.935,67946,MarketNoChange,0.055,11.000000000000007,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0183
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,SERN KOU RESOURCES BERHAD,'7180,0.85,0.855,0.91,0.845,0.91,50477,MarketGapUp,0.06,11.000000000000007,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7180
MAIN MARKET,ENERGY,T7 GLOBAL BERHAD,'7228,0.46,0.455,0.51,0.455,0.505,196923,MarketGapDown,0.045,9.999999999999998,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7228
MAIN MARKET,TECHNOLOGY,UWC BERHAD,'5292,1.9,1.92,2.02,1.92,2.02,63182,MarketGapUp,0.12,10.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5292
MAIN MARKET,ENERGY,WAH SEONG CORPORATION BERHAD,'5142,0.99,0.965,1.03,0.965,1.01,71853,MarketGapDown,0.02,8.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5142
ACE MARKET,TECHNOLOGY,KRONOLOGI ASIA BERHAD,'0176,0.64,0.645,0.69,0.64,0.685,256995,MarketGapUp,0.045,8.000000000000009,,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0176
