,Number,Name,Close,Open,Change,ChangePercentage,High,Low
00,1,FBMKLCI,"1,570.93",1568.78,-0.22,-0.01,"1,572.06","1,565.08"
01,2,FBMT100,"11,003.20",10983.13,-1.60,-0.01,"11,009.85","10,969.58"
02,3,FBM70,"14,119.26",14073.03,-2.51,-0.02,"14,133.46","14,071.21"
03,4,FBMSCAP,"13,576.33",13485.98,+110.84,+0.82,"13,576.33","13,485.98"
04,5,FBMEMAS,"11,192.30",11165.40,+2.56,+0.02,"11,196.59","11,159.99"
05,6,FBMFLG,"14,344.51",14298.11,+40.33,+0.28,"14,344.51","14,267.31"
06,7,FA40,"10,670.73",10654.48,+20.59,+0.19,"10,698.02","10,649.45"
07,8,FBMSHA,"11,808.65",11777.86,+7.42,+0.06,"11,818.69","11,772.19"
08,9,FBMHIJRAH,"13,045.50",13007.89,+1.28,+0.01,"13,062.01","12,990.46"
09,10,FBMACE,"4,831.41",4814.75,+48.17,+1.01,"4,867.11","4,792.91"
10,11,FBMAPMYR,"16,286.37",16200.72,+67.35,+0.42,"16,344.16","16,179.46"
11,12,FBMAPUSD,"11,209.56",11149.27,+58.37,+0.52,"11,239.92","11,129.32"
12,13,FBMPALMOIL,"11,712.05",11781.71,-74.58,-0.63,"11,831.78","11,586.57"
13,14,F4GBM,877.31,874.98,-0.01,-,877.85,874.25
14,15,TECHNOLOGY,37.85,37.47,+0.46,+1.23,37.99,37.47
15,16,PLANTATION,"6,639.47",6618.71,+14.74,+0.22,"6,647.25","6,598.77"
16,17,CONSTRUCTION,206.26,205.82,+0.71,+0.35,206.26,205.13
17,18,CONSUMER PRODUC,646.49,646.34,-0.77,-0.12,647.31,645.15
18,19,ENERGY,"1,187.66",1176.61,+12.15,+1.03,"1,190.54","1,173.06"
19,20,FINANCIAL SERVI,"15,221.19",15230.85,-53.44,-0.35,"15,267.65","15,184.03"
20,21,HEALTH CARE,"1,254.76",1250.09,+3.60,+0.29,"1,254.76","1,245.94"
21,22,INDUSTRIAL PROD,152.64,152.23,+0.08,+0.05,152.64,152.17
22,23,PROPERTY,761.04,762.52,-1.16,-0.15,763.29,757.90
23,24,REIT,987.72,982.95,+6.11,+0.62,987.72,980.58
24,25,TELECOMMUNICATI,696.95,694.47,+1.73,+0.25,698.44,692.59
25,26,TRANSPORTATION ,776.34,776.06,-3.56,-0.46,780.93,773.30
26,27,UTILITIES,981.10,981.08,-0.49,-0.05,985.29,978.01
27,28,FBMMSCAP,"14,835.44",14719.40,+131.84,+0.90,"14,835.44","14,719.40"
28,29,FBMMSCS,"14,012.96",13911.24,+109.49,+0.79,"14,027.59","13,911.24"
